,PC No,PC Name,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),State
265,30,Mumbai South central,6,1572,1440380,916,30,17,15,797903,55.4,Maharashtra
266,31,Mumbai   South,6,1578,1554176,985,17,13,11,801799,51.59,Maharashtra
267,32,Raigad,6,2179,1652965,759,26,16,14,1027583,62.17,Maharashtra
268,33,Maval,6,2504,2298080,918,32,21,19,1369456,59.59,Maharashtra
269,34,Pune,6,1997,2075824,1039,46,31,29,1035654,49.89,Maharashtra
270,35,Baramati,6,2372,2114663,892,31,18,16,1307318,61.82,Maharashtra
271,36,Shirur,6,2296,2175529,948,27,23,21,1293155,59.44,Maharashtra
272,37,Ahmadnagar ,6,2030,1861396,917,31,19,17,1206090,64.79,Maharashtra
273,38,Shirdi,6,1710,1587079,928,30,20,18,1030502,64.93,Maharashtra
274,39,Beed,6,2325,2045405,880,58,36,34,1353442,66.17,Maharashtra
275,40,Osmanabad,6,2127,1889740,888,23,14,12,1204832,63.76,Maharashtra
276,41,Latur ,6,2075,1886657,909,15,10,8,1178089,62.44,Maharashtra
277,42,Solapur ,6,1926,1851654,961,26,13,11,1086344,58.67,Maharashtra
278,43,Madha,6,2025,1909574,943,42,31,29,1217823,63.77,Maharashtra
279,44,Sangli,6,1848,1809109,979,21,12,9,1192571,65.92,Maharashtra
280,45,Satara,6,2296,1848489,805,12,9,7,1117757,60.47,Maharashtra
281,46,Ratnagiri - sindhudurg,6,1942,1455577,750,13,12,10,902355,61.99,Maharashtra
282,47,Kolhapur,6,2148,1880496,875,25,15,13,1332504,70.86,Maharashtra
283,48,Hatkanangle,6,1856,1776555,957,23,17,15,1254313,70.6,Maharashtra
284,1,Inner manipur,32,1300,937464,721,11,11,8,760456,81.12,Manipur
285,2,Outer manipur,28,1562,1022099,654,8,8,5,859995,84.14,Manipur
286,1,Shillong,36,2053,1197806,583,8,6,4,784279,65.48,Meghalaya
287,2,Tura ,24,1114,716990,644,3,3,1,583480,81.38,Meghalaya
288,1,MIZORAM,40,1190,792464,666,6,6,4,500347,63.14,Mizoram
289,1,Nagaland,60,2227,1213777,545,4,4,2,1007437,83,Nagaland
290,1,CHANDNI CHOWK                 ,10,1570,1562283,995,49,26,24,980814,62.78,NCT OF Delhi
291,2,NORTH EAST DELHI              ,10,2147,2290492,1067,60,24,22,1462767,63.86,NCT OF Delhi
292,3,EAST DELHI                    ,10,1844,2039302,1106,52,26,23,1258195,61.7,NCT OF Delhi
293,4,NEW DELHI                     ,10,1627,1617470,994,52,27,25,920567,56.91,NCT OF Delhi
294,5,NORTH WEST DELHI              ,10,2492,2378995,955,35,11,8,1402986,58.97,NCT OF Delhi
295,6,WEST DELHI                    ,10,2285,2371644,1038,51,23,20,1442492,60.82,NCT OF Delhi
296,7,SOUTH DELHI                   ,10,1854,2067463,1115,48,27,25,1214545,58.75,NCT OF Delhi
297,1,Bargarh,7,1895,1596290,842,8,6,4,1251078,78.37,Odisha
298,2,Sundargarh ,7,1853,1531525,827,11,8,5,1101049,71.89,Odisha
299,3,Sambalpur,7,1756,1468530,836,12,11,9,1126662,76.72,Odisha
300,4,Keonjhar ,7,1968,1516688,771,11,8,6,1176479,77.57,Odisha
301,5,Mayurbhanj ,7,1891,1493205,790,10,8,6,1151693,77.13,Odisha
302,6,Balasore,7,1639,1531781,935,13,12,10,1159355,75.69,Odisha
303,7,Bhadrak ,7,1793,1661661,927,10,8,5,1228046,73.9,Odisha
304,8,Jajpur ,7,1627,1475007,907,10,8,6,1092965,74.1,Odisha
305,9,Dhenkanal,7,1713,1504403,878,9,9,7,1133213,75.33,Odisha
306,10,Bolangir,7,2140,1744446,815,8,8,5,1306744,74.91,Odisha
307,11,Kalahandi,7,2015,1611056,800,9,7,4,1230929,76.41,Odisha
308,12,Nabarangpur ,7,1773,1461004,824,4,4,1,1161787,79.52,Odisha
309,13,Kandhamal,7,1570,1288666,821,8,5,3,942041,73.1,Odisha
310,14,Cuttack,7,1644,1518996,924,11,11,9,1060459,69.81,Odisha
311,15,Kendrapara ,7,1999,1710916,856,9,7,5,1238448,72.39,Odisha
312,16,Jagatsinghpur ,7,1886,1643595,871,9,9,6,1229827,74.83,Odisha
313,17,Puri,7,1769,1562331,883,9,8,6,1136124,72.72,Odisha
314,18,Bhubaneswar,7,1656,1699678,1026,18,14,12,1005624,59.17,Odisha
315,19,Aska,7,1694,1541145,910,10,8,6,1013890,65.79,Odisha
316,20,Berhampur,7,1697,1502455,885,9,8,6,990087,65.9,Odisha
317,21,Koraput ,7,1776,1434384,808,7,7,4,1080669,75.34,Odisha
318,1,Puducherry,30,970,973410,1004,30,18,16,790895,81.25,Puducherry
319,1,Gurdaspur,9,1826,1595284,874,23,15,13,1104546,69.24,Punjab
320,2,Amritsar,9,1601,1507875,942,34,30,28,860582,57.07,Punjab
321,3,Khadoor Sahib,9,1902,1638842,862,25,19,16,1048150,63.96,Punjab
322,4,Jalandhar,9,1863,1617018,868,24,19,16,1019403,63.04,Punjab
323,5,Hoshiarpur,9,1911,1597500,836,13,8,6,991665,62.08,Punjab
324,6,Anandpur Sahib,9,1943,1698876,874,35,26,24,1082024,63.69,Punjab
325,7,Ludhiana,9,1721,1683325,978,28,22,19,1047025,62.2,Punjab
326,8,Fatehgarh Sahib,9,1750,1502861,859,27,20,18,987161,65.69,Punjab
327,9,Faridkot,9,1613,1541971,956,25,20,18,975242,63.25,Punjab
328,10,Firozpur,9,1805,1618419,897,25,22,20,1172801,72.47,Punjab
329,11,Bathinda,9,1729,1621671,938,36,27,25,1202593,74.16,Punjab
330,12,Sangrur,9,1627,1529431,940,31,25,22,1107256,72.4,Punjab
331,13,Patiala,9,1922,1739600,905,33,25,23,1178847,67.77,Punjab
332,1,Ganganagar,8,2024,1943486,960,11,9,7,1453085,74.77,Rajasthan
333,2,Bikaner (SC),8,1829,1851628,1012,12,9,7,1100500,59.43,Rajasthan
334,3,Churu,8,2068,2019104,976,17,12,10,1330672,65.9,Rajasthan
335,4,Jhunjhunu,8,2009,1937882,965,17,12,10,1203702,62.11,Rajasthan
336,5,Sikar,8,2046,2041612,998,17,12,10,1330661,65.18,Rajasthan
337,6,Jaipur Rural,8,2025,1952542,964,11,8,6,1279667,65.54,Rajasthan
338,7,Jaipur,8,1873,2127021,1136,34,24,22,1456506,68.48,Rajasthan
339,8,Alwar,8,1991,1888524,949,13,11,9,1268477,67.17,Rajasthan
340,9,BHARATPUR,8,2006,1943794,969,10,8,6,1148971,59.11,Rajasthan
341,10,KARAULI-DHOLPUR,8,1987,1810574,911,5,5,3,999130,55.18,Rajasthan
342,11,Dausa,8,1954,1730289,886,12,11,9,1064078,61.5,Rajasthan
343,12,TONK-SAWAI MADHOPUR,8,2072,1945992,939,10,8,6,1234467,63.44,Rajasthan
344,13,Ajmer,8,1951,1876346,962,11,7,5,1263246,67.32,Rajasthan
345,14,Nagaur,8,1971,1933169,981,14,13,11,1204773,62.32,Rajasthan
346,15,Pali,8,2236,2161663,967,14,8,6,1361515,62.98,Rajasthan
347,16,Jodhpur,8,1993,1956755,982,12,10,8,1347933,68.89,Rajasthan
348,17,Barmer,8,2552,1941231,761,16,7,5,1422875,73.3,Rajasthan
349,18,Jalore,8,2097,2071244,988,28,15,13,1361627,65.74,Rajasthan
350,19,Udaipur,8,2275,2069559,910,9,9,7,1455417,70.32,Rajasthan
351,20,Banswara,8,2115,1975368,934,5,5,2,1440109,72.9,Rajasthan
352,21,Chittorgarh,8,2327,2015911,866,13,10,8,1459266,72.39,Rajasthan
353,22,Rajsamand,8,2107,1912911,908,12,10,8,1240848,64.87,Rajasthan
354,23,Bhilwara,8,2219,1997328,900,7,4,2,1311011,65.64,Rajasthan
355,24,Kota,8,2051,1948010,950,24,15,13,1367928,70.22,Rajasthan
356,25,JHALAWAR-BARAN,8,2187,1903870,871,11,7,5,1370017,71.96,Rajasthan
357,1,Sikkim,31,567,434128,766,11,11,9,353415,81.41,Sikkim
358,1,Thiruvallur ,6,2206,1946870,883,28,20,18,1408265,72.33,Tamil Nadu
359,2,Chennai North,6,1474,1487681,1009,45,23,22,955931,64.26,Tamil Nadu
360,3,Chennai South,6,1895,1973533,1041,50,40,38,1126341,57.07,Tamil Nadu
361,4,Chennai central,6,1309,1332300,1018,44,31,29,785757,58.98,Tamil Nadu
362,5,Sriperumbudur,6,2360,2253448,955,42,19,17,1407153,62.44,Tamil Nadu
363,6,Kancheepuram ,6,1913,1643992,859,21,11,9,1238158,75.31,Tamil Nadu
364,7,Arakkonam,6,1700,1500016,882,24,19,17,1179712,78.65,Tamil Nadu
365,9,Krishnagiri,6,1850,1530404,827,26,15,13,1162273,75.95,Tamil Nadu
366,10,Dharmapuri,6,1787,1485804,831,27,15,13,1224465,82.41,Tamil Nadu
367,11,Tiruvannamalai,6,1717,1473862,858,32,25,23,1151791,78.15,Tamil Nadu
368,12,Arani,6,1756,1449150,825,26,15,13,1144917,79.01,Tamil Nadu
369,13,Viluppuram,6,1723,1444335,838,24,13,11,1136098,78.66,Tamil Nadu
370,14,Kallakurichi,6,1794,1528938,852,33,24,22,1204935,78.81,Tamil Nadu
371,15,Salem,6,1803,1612512,894,38,22,20,1256330,77.91,Tamil Nadu
372,16,Namakkal,6,1653,1413599,855,36,29,27,1133984,80.22,Tamil Nadu
373,17,Erode,6,1678,1462246,871,30,20,18,1069003,73.11,Tamil Nadu
374,18,Tiruppur,6,1704,1530014,898,26,12,10,1120093,73.21,Tamil Nadu
375,19,Nilgiris ,6,1610,1366060,848,15,10,8,1011049,74.01,Tamil Nadu
376,20,Coimbatore,6,2045,1958904,958,30,14,12,1250929,63.86,Tamil Nadu
377,21,Pollachi,6,1691,1520504,899,32,14,12,1081888,71.15,Tamil Nadu
378,22,Dindigul,6,1787,1541881,863,28,21,19,1160931,75.29,Tamil Nadu
379,23,Karur,6,1650,1387286,841,49,42,40,1103645,79.55,Tamil Nadu
380,24,Tiruchirappalli,6,1660,1508963,909,37,24,23,1048779,69.5,Tamil Nadu
381,25,Perambalur,6,1644,1391853,847,32,19,17,1103160,79.26,Tamil Nadu
382,26,Cuddalore ,6,1499,1364038,910,35,21,19,1043380,76.49,Tamil Nadu
383,27,Chidambaram ,6,1708,1480222,867,19,13,11,1154257,77.98,Tamil Nadu
384,28,Mayiladuthurai,6,1738,1484842,854,39,27,25,1097780,73.93,Tamil Nadu
385,29,Nagapattinam ,6,1537,1303649,848,19,15,13,1002920,76.93,Tamil Nadu
386,30,Thanjavur,6,1691,1461052,864,26,12,10,1060052,72.55,Tamil Nadu
387,31,Sivaganga,6,1856,1552019,836,31,26,24,1084906,69.9,Tamil Nadu
388,32,Madurai,6,1549,1539026,994,36,27,25,1017122,66.09,Tamil Nadu
389,33,Theni ,6,1781,1561040,876,43,30,28,1175008,75.27,Tamil Nadu
390,34,Virudhunagar,6,1673,1484256,887,39,28,26,1075926,72.49,Tamil Nadu
391,35,Ramanathapuram,6,1916,1559740,814,37,23,21,1066923,68.4,Tamil Nadu
392,36,Thoothukkudi,6,1595,1427783,895,48,37,35,991967,69.48,Tamil Nadu
393,37,Tenkasi ,6,1738,1492317,859,33,25,23,1066008,71.43,Tamil Nadu
394,38,Tirunelveli,6,1783,1547800,868,41,26,24,1040390,67.22,Tamil Nadu
395,39,Kanniyakumari,6,1694,1501250,886,26,15,13,1049427,69.9,Tamil Nadu
396,1,Adilabad ,7,2079,1489790,717,16,11,8,1063977,71.42,Telangana
397,2,Peddapalle ,7,1827,1479091,810,27,17,15,970165,65.59,Telangana
398,3,Karimnagar ,7,2181,1651543,757,24,15,13,1148201,69.52,Telangana
399,4,Nizamabad,7,1788,1553385,869,203,185,183,1063182,68.44,Telangana
400,5,Zahirabad,7,1940,1498666,773,18,12,10,1044504,69.7,Telangana
401,6,Medak,7,2043,1603318,785,20,10,7,1150331,71.75,Telangana
402,7,Malkajgiri,7,2960,3150313,1064,40,12,9,1563646,49.63,Telangana
403,8,Secundrabad,7,1809,1968276,1088,51,28,25,915263,46.5,Telangana
