,PC No,PC Name,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),State
453,39,Pratapgarh,5,1892,1708759,903,25,8,6,915259,53.56,Uttar Pradesh
454,40,Farrukhabad,5,1949,1708585,877,22,9,7,1003241,58.72,Uttar Pradesh
455,41,Etawah,5,2049,1757984,858,17,13,11,1028811,58.52,Uttar Pradesh
456,42,Kannauj,5,2242,1874824,836,22,10,8,1140985,60.86,Uttar Pradesh
457,43,Kanpur,5,1532,1632983,1066,27,14,12,843419,51.65,Uttar Pradesh
458,44,Akbarpur,5,1917,1766121,921,35,14,12,1026633,58.13,Uttar Pradesh
459,45,Jalaun,5,2326,1933358,831,13,5,3,1130746,58.49,Uttar Pradesh
460,46,Jhansi,5,2329,2040739,876,21,11,9,1381130,67.68,Uttar Pradesh
461,47,Hamirpur,5,1244,1749100,1406,18,14,12,1090029,62.32,Uttar Pradesh
462,48,Banda,5,1924,1702024,885,24,8,6,1034912,60.8,Uttar Pradesh
463,49,Fatehpur,6,2045,1839312,899,17,10,8,1044489,56.79,Uttar Pradesh
464,50,Kaushambi,5,1937,1787120,923,22,12,10,975037,54.56,Uttar Pradesh
465,51,Phulpur,5,2158,2010477,932,39,14,12,979077,48.7,Uttar Pradesh
466,52,Allahabad,5,1922,1716160,893,23,14,12,889553,51.83,Uttar Pradesh
467,53,Barabanki,5,2166,1816830,839,17,13,11,1155708,63.61,Uttar Pradesh
468,54,Faizabad,5,2116,1821785,861,31,13,11,1087420,59.69,Uttar Pradesh
469,55,Ambedkar Nagar,5,2062,1785657,866,20,11,9,1090615,61.08,Uttar Pradesh
470,56,Bahraich,5,1942,1729908,891,10,10,8,990143,57.24,Uttar Pradesh
471,57,Kaiserganj,5,2118,1805946,853,12,12,10,982323,54.39,Uttar Pradesh
472,58,Shrawasti,5,2177,1914739,880,19,10,8,997139,52.08,Uttar Pradesh
473,59,Gonda,5,2118,1770248,836,16,15,13,924123,52.2,Uttar Pradesh
474,60,Domariyaganj,5,2248,1885433,839,17,10,8,985330,52.26,Uttar Pradesh
475,61,Basti,5,2316,1845223,797,20,11,9,1055201,57.19,Uttar Pradesh
476,62,Sant Kabir Nagar,5,2255,1962903,870,27,7,5,1063925,54.2,Uttar Pradesh
477,63,Maharajganj,5,2067,1915408,927,21,14,12,1227224,64.07,Uttar Pradesh
478,64,Gorakhpur,5,2157,1981197,918,31,10,8,1184925,59.81,Uttar Pradesh
479,65,Kushi Nagar,5,1963,1761564,897,16,14,12,1053309,59.79,Uttar Pradesh
480,66,Deoria,5,1137,1754195,1543,29,11,9,1015596,57.9,Uttar Pradesh
481,67,Bansgaon,5,1986,1751258,882,11,4,2,969783,55.38,Uttar Pradesh
482,68,Lalganj,5,1956,1751980,896,15,15,13,961064,54.86,Uttar Pradesh
483,69,Azamgarh,5,1987,1789168,900,23,15,13,1029796,57.56,Uttar Pradesh
484,70,Ghosi,5,2119,1991651,940,26,15,13,1141480,57.31,Uttar Pradesh
485,71,Salempur,5,1862,1667282,895,21,15,13,924101,55.43,Uttar Pradesh
486,72,Ballia,5,1996,1822625,913,19,10,8,990571,54.35,Uttar Pradesh
487,73,Jaunpur,5,1899,1867976,984,32,20,18,1041833,55.77,Uttar Pradesh
488,74,Machhlishahr,5,1935,1848306,955,18,15,13,1035410,56.02,Uttar Pradesh
489,75,Ghazipur,5,2050,1881077,918,21,14,12,1107497,58.88,Uttar Pradesh
490,76,Chandauli,5,1835,1756837,957,26,13,11,1086193,61.83,Uttar Pradesh
491,77,Varanasi,5,1819,1856791,1021,102,26,24,1060829,57.13,Uttar Pradesh
492,78,Bhadohi,5,2151,1942514,903,32,12,10,1039863,53.53,Uttar Pradesh
493,79,Mirzapur,5,2089,1845150,883,23,9,7,1109059,60.11,Uttar Pradesh
494,80,Robertsganj,5,1875,1723538,919,24,12,10,988804,57.37,Uttar Pradesh
495,1,Tehri Garhwal,14,2372,1493543,630,15,15,13,879183,58.87,Uttarakhand
496,2,Garhwal,14,2244,1355796,604,12,9,7,748022,55.17,Uttarakhand
497,3,Almora,14,2154,1337808,621,8,6,4,699807,52.31,Uttarakhand
498,4,Nainital-udhamsingh Nagar,14,2204,1828433,830,10,7,5,1261010,68.97,Uttarakhand
499,5,Hardwar,14,2255,1840738,816,20,15,13,1273393,69.18,Uttarakhand
500,1,Cooch behar,7,2010,1814200,903,11,11,9,1525446,84.08,West Bengal
501,2,Alipurduars,7,1834,1648383,899,8,7,5,1381176,83.79,West Bengal
502,3,Jalpaiguri,7,1868,1735464,929,16,12,10,1501379,86.51,West Bengal
503,4,Darjeeling,7,1899,1611317,849,21,16,14,1269666,78.8,West Bengal
504,5,Raiganj,7,1623,1601220,987,15,14,12,1278076,79.82,West Bengal
505,6,Balurghat,7,1530,1431704,936,13,13,11,1198237,83.69,West Bengal
506,7,Maldaha Uttar,7,1713,1685955,984,16,16,13,1355367,80.39,West Bengal
507,8,Maldaha Dakshin,7,1616,1575590,975,12,10,7,1279977,81.24,West Bengal
508,9,Jangipur,7,1762,1616213,917,11,11,8,1304629,80.72,West Bengal
509,10,Baharampur,7,1844,1638378,888,11,11,9,1301033,79.41,West Bengal
510,11,Murshidabad,7,1907,1725187,905,11,11,8,1454192,84.29,West Bengal
511,12,Krishnanagar,7,1812,1631698,900,11,11,9,1366601,83.75,West Bengal
512,13,Ranaghat,7,1971,1762252,894,12,7,5,1484797,84.26,West Bengal
513,14,Bangaon,7,1899,1704632,898,10,10,8,1408653,82.64,West Bengal
514,15,Barrackpore,7,1567,1436431,917,20,15,13,1104699,76.91,West Bengal
515,16,Dum dum,7,1761,1566196,889,15,12,10,1204695,76.92,West Bengal
516,17,Barasat,7,1915,1718252,897,21,12,10,1396194,81.26,West Bengal
517,18,Basirhat,7,1861,1678357,902,14,13,11,1433769,85.43,West Bengal
518,19,Jaynagar,7,1810,1648355,911,12,8,6,1356386,82.29,West Bengal
519,20,Mathurapur,7,1848,1652096,894,9,9,7,1402019,84.86,West Bengal
520,21,Diamond harbour,7,1912,1719190,899,11,10,8,1409373,81.98,West Bengal
521,22,Jadavpur,7,2042,1816857,890,18,13,10,1437283,79.11,West Bengal
522,23,Kolkata Dakshin,7,2031,1728851,851,16,13,11,1207076,69.82,West Bengal
523,24,Kolkata Uttar,7,1862,1444082,776,21,21,19,950639,65.83,West Bengal
524,25,Howrah,7,1868,1633925,875,21,19,17,1222708,74.83,West Bengal
525,26,Uluberia,7,1826,1614988,884,10,10,8,1311120,81.18,West Bengal
526,27,Srerampur,7,2033,1785472,878,11,11,9,1402259,78.54,West Bengal
527,28,Hooghly,7,2039,1766601,866,9,9,7,1458634,82.57,West Bengal
528,29,Arambagh,7,2058,1764726,857,9,9,7,1472462,83.44,West Bengal
529,30,Tamluk,7,1891,1694646,896,12,12,10,1446940,85.38,West Bengal
530,31,Kanthi,7,1860,1660147,893,9,7,5,1424966,85.83,West Bengal
531,32,Ghatal,7,2074,1800002,868,7,7,5,1489338,82.74,West Bengal
532,33,Jhargram,7,1994,1641868,823,13,9,7,1407231,85.71,West Bengal
533,34,Medinipur,7,1930,1674236,867,9,9,7,1410321,84.24,West Bengal
534,35,Purulia,7,1873,1645884,879,15,15,13,1355861,82.38,West Bengal
535,36,Bankura,7,1936,1648906,852,20,15,13,1372645,83.25,West Bengal
536,37,Bishnupur,7,1870,1627199,870,9,9,7,1421191,87.34,West Bengal
537,38,Bardhaman Purba,7,1919,1698089,885,7,7,5,1439603,84.78,West Bengal
538,39,Bardhaman Durgapur,7,2006,1733578,864,6,6,4,1433189,82.67,West Bengal
539,40,Asansol,7,1860,1615865,869,11,10,8,1238151,76.62,West Bengal
540,41,Bolpur,7,1957,1705073,871,7,7,5,1461929,85.74,West Bengal
541,42,Birbhum,7,1908,1699219,891,10,9,7,1450108,85.34,West Bengal
